```csv
S.No,Item Code,Item Name,Activity Name,Resource Type,Category Name
335,438,Electro-conductive gel,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
336,439,Portable ultrasound scanner,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
337,440,Oxygen therapy,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
338,441,ICU beds,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
339,442,Patient monitor,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
340,443,Videolaryngoscope,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
341,444,Respirator,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
342,445,Surgical gowns,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
343,446,ORS,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
344,447,CoVID test centres,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
345,448,Vaccination centres,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
346,449,Steamer,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
347,450,Ambulance with Oxygen support and other critical facilities,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
348,451,Ambulance Attendants and Drivers,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
349,452,Tocilizumab,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
350,453,COVID Vaccines,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
351,454,COVID Specific Medicines,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
352,455,Oxygen Regulators and other support equipments to use oxygen Beds (with and without oxygen support),NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
353,456,Trained Doctors and Nursing Staff for COVID,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
354,467,Thermal Scanner,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
355,457,Isolation,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
356,458,Quarantine Wards,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
357,459,Mobile Isolation Units,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
358,460,Wheel Chairs with the Oxygen Support and IV support stand,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
359,461,Wheel Chairs,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
360,462,Aerosol Fumigators,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
361,463,HFO Cannula,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
362,464,Blood Fractionation Units,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
363,465,Computerized Tomography Scans,NUCLEAR BIOLOGICAL AND CHEMICAL,Critical supplies,
364,392,Aapda Mitra,,Skilled Human Resource,
365,468,Ex-Army personnel,,Skilled Human Resource,
366,469,Ex-CAPFs personnel,,Skilled Human Resource,
367,466,DG Sets,,Equipment,Portable Equipment
```
